ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0471684902,0.1601284647,0.1977357137,0.1912157473,0.3303543902,0.0733971939,0
2,NEU,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0414859142,0.049029369,0.0972997037,0.0,0.7703394214,0.0418455918,1
3,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1453619836,0.3828331069,0.2222872244,0.0405979317,0.0829021877,0.1260175658,1
4,N,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.1494584422,0.1233261023,0.2742768854,0.0991589423,0.2121254602,0.1416541676,1
5,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.4528723429,0.0640731406,0.0787464326,0.0397989692,0.2560151566,0.1084939581,0
6,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0401142869,0.1731867284,0.1613018106,0.3132624372,0.211192613,0.1009421239,0
7,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1150246588,0.0995762845,0.0747684387,0.4202686526,0.1522332332,0.1381287323,1
8,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.0279401992,0.082964189,0.1381910184,0.0478001019,0.6421665772,0.0609379142,0
9,N,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0809758388,0.177768999,0.2159687121,0.1072031383,0.3083909364,0.1096923754,1
10,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0433868145,0.2125181057,0.1780757348,0.2423449696,0.2482845711,0.0753898043,0
11,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1859301505,0.1864414975,0.171631605,0.0755628448,0.2220072694,0.1584266328,1
12,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.265715491,0.164976549,0.1104608599,0.0278905945,0.221637561,0.2093189447,0
13,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1213147983,0.2622983904,0.1633972967,0.165301221,0.1494696309,0.1382186626,0
14,N,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.0294614675,0.1285588321,0.1672184907,0.0386626505,0.5824621889,0.0536363703,0
15,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0369439659,0.163035344,0.2528488003,0.1211352744,0.3660721754,0.0599644399,0
16,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.2666955281,0.1936777459,0.0624005886,0.0657572126,0.163195407,0.2482735178,1
17,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0790893301,0.1762969371,0.2247014538,0.0894664539,0.3551276851,0.0753181401,0
18,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0401142869,0.1731867284,0.1613018106,0.3132624372,0.211192613,0.1009421239,0
19,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0152934437,0.4393285369,0.3260273407,0.0479413729,0.1076795325,0.0637297733,0
20,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.2239475406,0.173870939,0.1089006438,0.084052938,0.1542469025,0.2549810361,0
21,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.2051473059,0.1750126884,0.1395161799,0.1001061991,0.229227566,0.1509900607,0
22,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1141111662,0.2999006208,0.1335173806,0.1768527418,0.1109170393,0.1647010513,0
23,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2404701596,0.2228775632,0.1173186279,0.0491207518,0.0999041609,0.2703087366,0
24,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2263107236,0.0476348678,0.0382658242,0.0268478572,0.2107406426,0.4502000846,0
25,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.3505067907,0.0963486298,0.1261605367,0.1180859513,0.1854577826,0.123440309,0
26,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1484733133,0.2862631876,0.2198139801,0.0769309791,0.1350877586,0.1334307813,0
27,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.2355135856,0.1405552276,0.1402400662,0.0446145866,0.2398071597,0.1992693744,0
28,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2159635546,0.195476818,0.1436575864,0.0984944831,0.1461811114,0.2002264465,0
29,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1949024231,0.1353206414,0.0920413405,0.0364981595,0.2315100368,0.3097273988,0
