ID,Text,Class
1,Ye bhi illegal immigrant lag rahi hai -- NRC register mein iska naam check karwana chaheye,?
2,"Yeah I asked someone about her skirt today and she said it was from ASOS and I was like I don't have time to buy and send back 1,000 things for the sake of finding one thing I like",?
3,You need to clean your SELECTIVE HEARING COBWEBS OUT OF YOUR EARS Tells Live TV when she wins her election Were Going To IMPEACH TRUMPS FIng ASS /Thats More Offensive Than Send Her Back #FakeOutrageDemocrats #FakeOutrageDemocrats #FakeOutrageChrisWallace,?
4,It easy to complain and criticize with no offering of a solution. Close the border and send them back home.,?
5,"Guess the send-them-back policy of your friend' has hit a little too close to home, huh, G? Funny how that works.",?
6,MAGA chanting send her back. Racism exploitation is now top agenda for make America white again,?
7,But he tweeted send her back. That's way more important. Just ask any Liberal Sunday show host including Chris Wallace.,?
8,"This blend of nativism, racism, and nationalism is central to Trumpism, to their worldview, writes They view me as, they disregard me as, an illegal alien, like those four progressive congresswomen of color.",?
9,So you demonize all undocumented immigrants over the actions of one. There are undocumented immigrants who,?
10,When your fan base was screaming send them back ... were they referring to both of your ex-wives??,?
11,Imagine all of those illegal criminals crossing the desert endangering their families in this heat! If they would just,?
12,That the fire started by the illegal alien or the powerline in the mismanaged forest? #ClimateHoax,?
13,Believe what you want but most were talking about how you said nothing to your supporters when they started their chant send her back you basked in what they were saying. Then you made up some bullshit that you didnt like it but they are patriots. So crowd size never came up.,?
14,And calls them unpatriotic . Says the people chanting send her back at his hate rally are all incredible people who love this country. Can you get things any more backwards?,?
15,"I do. As a Christian born in an Islamic country, my family immigrated to the USA because ppl like her. So no, I dont want this infestation here. SEND HER BACK!",?
16,"I don't know who's going to win, but it's not going to be Trump. He needs independents and moderates to win, but is doing everything in his power to turn them away. This send her back shit ain't gonna cut it.",?
17,is the shining example of the pathetic RINO who thinks if you don't raise your voice or u take the high road on conflict then everybody will like you. Well that's completely wrong - it's time to stand up to these cretins. Quit being weak!,?
18,"Very sweet, nice, I love it! BUT, it gives cover to Trump and his hateful supporters to claim they were merely chanting Send her back.... (to Minnesota) , not Send her back to Africa which is what many of us who know the history of Send them back in America heard.",?
19,"Let them out Chuckles, send them back its that simple .. stop trying to make a spectacle of your visit those people are free to leave .",?
20,You are quite delusional. The entire world is horrified- by your racist tweets and the chilling send her back chants - which you let go on for 12 seconds. World leaders are speaking against your actions. You are dangerous.,?
21,Donald Trump row Sajid Javid condemns 'barely-masked racism of nationalism' Shut up #Javid concent,?
