ID,Text,Class
1,Trump supporters needed to say the 4 Democrats socialist Squad are racist towards Trump America supporter. America has freedom of speech and it was a Trump hyper rally not a Socialist Democratic squad rally. The rally said send her back the one not migrants Socialist Democratic,0
2,Send them back!!Why the hell are they even here? Im sick of hearing it.We have the greatest country and the greatest POTUS ever!! Ridiculous the he gets for doing such a great job repairing our nation. May God bless president Trump and make him feel the love and appreciation,1
3,"Yeah...Im wondering if send them back works for wife #1 &amp; 3 as well? Yknow, those Anchor Wives? Or is he the Anchor Husband? Which is it, ???",1
4,I know you realize you cant pretend that you didnt know Obama began this or that youve been in Congress far too long and have done NOTHING to fix our broken immigration system. THESE PEOPLE CAN LEAVE!!! Send them BACK! No more CRISIS!,1
5,"Donny, you owe all people an apology for applauding the horrible chant Send her back. You did clap your hands and cheered on the chant. You are a despicable pig.",0
6,Mike Pence says Trump 'might make an effort to speak out' if 'Send her back' chant happens again,0
7,"Yes the new chant should be close the camps, send them back soooooothing",1
8,"FOOLISH RACIST IDIOTS FORGOT CHANT MEXICO PAYS FOR THE WALL; So, BLIND BRAINLESS SLAVES CHANT (send her back) &amp; FIND MASTER TRUMPDUMP NOT HAPPY WITH THEM!",0
9,"Yeah but after the Muslim ban, Mexico is sending rapists, Charlotteville and Send them back, Graham has all the proof he needs to clear Trump.",1
10,Might? Why do I think of Beavis and Butthead when I see pictures of these two morons together? Mike Pence says Trump 'might make an effort to speak out' if 'send her back' chant happens again #Topbuzz,0
11,"He literally disavowed his followers rightfully chanting send them back to the communist islamist foreigners. He souldn't back down from anything for the left. Trump was good in 2016, but we need a stronger candidate for 2024.",1
12,"Daniel Gamito-Marques Early in career, Bocage travelled throughout Portugal to find collaborators (not specimins!) who would collect and send zoological specimins back to him so he could study them. #scidip19",0
13,Chris Salcedo is curious what you think. Is it Trumps fault that his supporters shouted send her back at his rally? Sev,0
14,"#ChrisWallace burns down #StephenMiller over #Trumps #RACIST #LIES He let send her back chant go for 13 seconds - He let it go on for 13 seconds &amp; it was only when the chant diminished that he started talking again, #Wallace noted. He said ...",0
15,"N.Carolina did not appreciate allowing chants at his rally last week. The site of theSend Her Back chants distanced itself from Trumps Wed rally on its campus sending a letter to ECU making it clear once again it did not sponsor, host or endorse the rally.",0
16,Irish patriots at Dublin HQ are calling for an end to censorship and respect for our fundament right to free speech as laid out in #Bunreachtnahireann. We are asking to put manners on these #BigTech tyrants or send them back to the USA,1
17,"My thoughts? Obama is a racist! Well, actually, #Trump's supporters (several of them here) don't think he is racist! I guess someone will tell me or my children to go back to where I / they came from. I will be happy to send my children back to EAMC!",0
18,Mike Pence says Trump 'might make an effort to speak out' if 'Send her back' chant happens again,0
19,When i see this photo of a child laying on the street I keep think,0
20,"Oh, Davey. Send Melania back has already been done. You need to keep up. There's some really interesting history on that black Muslim Congresswoman. President Trump is responding to the hate. Maybe if they quit trying to use him for target practice, he'd leave them alone.",0
21,"TY. I spoke against the send them back tweet too. I support policy but when I disagree I say it. And a note. Even if he was born in another nation, and he was not, he would still be a citizen eligible to be president as his Mom was a citizen.",0
22,The real reason distanced himself from Send her back chants? If proven it co,0
23,The Dan Conry Show - Send her back Chants - the algorithms of Twitter,0
24,"Im a refugee immigrant and I support building the wall, vetting immigrants, stop any encouragement and benefit",0
25,"Who would ever send hate tweets to such a humble and loving man like you? Just ignore, sometimes it's not worth it to even clap back. Show them you're a better person.",0
26,"On the other hand the same women have no problem voting them in, imo. Serves them right, sry. Look at the masses of women chanting send her back at trumps rallies and they bring their kids with them to teach them hate, ok.",0
27,"At rally, crowd responds to Trumps criticism of Somali-born congresswoman Ilhan Omar with chants of Send her back!. Ive been with you from day one but youre cool your ass are you losing it",0
28,U.S. Rep. Alexandria Ocasio-Cortez told constituents on Saturday that President Trump enjoyed hearing a crowd at his rally call for a U.S. congresswoman to return to the country where she had been born.,0
29,"Rep. Mark Walker on President Trump disavowing 'send her back' rally chant D.C. feuds in focus amid heated political climate; insight from North Carolina Congressman Mark Walker, Republican member of the House Homeland Security Committee. bit.l",0
30,Lara Trump lashes out after CNN host accuses her of 'lying' about rally crowd's Send her back! chant is a failed show with a failed host who is just trying to hang on to the 42 viewers he has left. He has no integrity or intelligence at all.,0
31,He will be right back at it at the next rally. And he'll say something like this Now I've been told your chant of 'send t,0
32,"Youre preaching to the choir Trump wants to send aid for the immigrant housing, but your squad re",0
33,"Chris Wallace burns down Stephen Miller over Trumps racist lies He let send her back chant go for 13 seconds | Raw Story Ive never called any of his tweets racist, but theres no question that he is stoking racial divisions. Indeed, he does.",0
34,Mike Pence Skips Chance To Strongly Rebuke 'Send Her Back' Chants | HuffPost,0
35,"To chants of Send her back, Trump lies that is guilty of vicious antisemitic screeds. Every liberal and l",0
36,When Obama used Fort Sill to house immigrant children Democrats SAID NOTHING. When President Trum,0
